M Dog,,,,,,,master,,,,,,,Shaun,,,,,,,F Dog,,,,,,,Sheep,,,,,,,frisbee,,,,,,
MD_method,MD_curX,MD_curY,MD_tarX,MD_tarY,MD_time,MD_angle,master_method,master_curX,master_curY,master_tarX,master_tarY,master_time,master_angle,Shaun_Method,Shaun_curX,Shaun_curY,Shaun_tarX,Shaun_tarY,Shaun_time,Shaun_angle,FD_method,FD_curX,FD_curY,FD_tarX,FD_tarY,FD_time,FD_angle,Sheep_method,Sheep_curX,Sheep_curY,Sheep_tarX,Sheep_tarY,Sheep_time,Sheep_angle,frisbee_method,frisbee_curX,frisbee_curY,frisbee_tarX,frisbee_tarY,frisbee_time,frisbee_angle
1,816,331.5,816,331.5,,,1,742,232.5,742,232.5,,,1,380,481.5,380,481.5,,,1,1338,159.5,1338,159.5,,,1,250,154.5,250,154.5,,,0,,,,,,
2,816,331.5,,,8,1080,2,742,232.5,,,8,1080,2,380,481.5,,,8,1080,2,1338,159.5,,,8,1080,2,250,154.5,,,8,1080,0,,,,,,
0,816,331.5,,,,,2,742,232.5,,,2,360,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,0,,,,,,
0,816,331.5,,,,,0,742,232.5,,,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,3,742,232.5,359,331.5,4,
1,816,331.5,418,331.5,,,0,742,232.5,,,,,0,380,481.5,,,,,0,1338,159.5,,,,,2,250,154.5,,,,,1,359,331.5,,,,
1,418,331.5,801,324.5,,,0,742,232.5,,,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,2,0,-1,731,304.5,,
0,801,324.5,,,,,2,742,232.5,,,2,360,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,3,731,304.5,481,325.5,3,
1,801,324.5,543,332.5,,,0,742,232.5,,,,,2,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,1,481,325.5,,,,
1,543,332.5,693,288.5,,,0,742,232.5,,,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,2,0,-1,731,304.5,,
0,693,288.5,,,1,,2,742,232.5,,,2,360,0,380,481.5,,,,,0,1338,159.5,,,,,2,250,154.5,,,,,3,742,232.5,,,2,
1,693,288.5,228,363.5,,,0,742,232.5,,,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,3,,,166,375.5,3,
3,228,363.5,705,328.5,,,3,742,232.5,1340,310,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,2,0,-3,503,382.5,,
3,-1,-1,705,328.5,,,3,-1,-1,1340,310,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,1,503,382.5,,,,
0,705,328.5,,,,,1,1340,310,1416,523.5,,,0,380,481.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,1,503,382.5,,,,
0,705,328.5,,,,,,,,,,,,1,380,481.5,504,435.5,,,0,1338,159.5,,,,,2,250,154.5,,,,,1,503,382.5,,,,
0,705,328.5,,,,,,,,,,,,2,504,435.5,,,3,360,0,1338,159.5,,,,,0,250,154.5,,,,,3,503,382.5,1221,295.5,,
1,705,328.5,929,338.5,,,,,,,,,,0,504,435.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,1,1221,295.5,,,,
2,929,338.5,,,2,,,,,,,,,0,504,435.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,1,1221,295.5,,,,
1,929,338.5,1193,312.5,,,,,,,,,,0,504,435.5,,,,,0,1338,159.5,,,,,2,250,154.5,,,,,1,1221,295.5,,,,
0,1193,312.5,,,,,,,,,,,,0,504,435.5,,,,,2,1338,159.5,,,4,720,0,250,154.5,,,,,1,1221,295.5,,,,
2,1193,312.5,,,2,,,,,,,,,0,504,435.5,,,,,2,1338,159.5,,,4,720,0,250,154.5,,,,,1,1221,295.5,,,,
1,1193,312.5,769,300.5,,,,,,,,,,0,504,435.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,2,0,-2,778,244.5,,
0,769,300.5,,,,,,,,,,,,0,504,435.5,,,,,0,1338,159.5,,,,,2,250,154.5,,,,,3,778,244.5,2,-1,,
0,769,300.5,,,,,,,,,,,,2,504,435.5,,,2,,0,1338,159.5,,,,,0,250,154.5,,,,,3,528,381.5,0,-1,,
2,769,300.5,,,2,,,,,,,,,0,504,435.5,,,,,0,1338,159.5,,,,,0,250,154.5,,,,,3,715,326.5,2,-1,,
0,769,300.5,,,,,,,,,,,,2,504,435.5,,,10,,0,1338,159.5,,,,,2,250,154.5,,,,,3,550,398.5,988,10,,
